Cycle,Freshman,Party,State,District,BIO_ID,FEC_ID
2012,Ron DeSantis,R,FL,6,D000621,H2FL00292
2012,Patrick Murphy,D,FL,18,M001191,H2FL22072
2012,Trey Radel,R,FL,19,R000596,H2FL14194
2012,Lois Frankel,D,FL,22,F000462,H2FL14053
2012,Joe Garcia,D,FL,26,G000573,H8FL25015
2012,Doug Collins,R,GA,9,C001093,H2GA09150
2012,Tulsi Gabbard,D,HI,2,G000571,H2HI02508
2012,Tammy Duckworth,D,IL,8,D000622,H6IL06141
2012,William Enyart,D,IL,12,E000292,H2IL12122
2012,Rodney Davis,R,IL,13,D000619,H2IL13120
2012,Cheri Bustos,D,IL,17,B001286,H2IL17071
2012,Jackie Walorski,R,IN,2,W000813,H0IN02190
2012,Susan Brooks,R,IN,5,B001284,H2IN05082
2012,Luke Messer,R,IN,6,M001189,H0IN02125
2012,Andy Barr,R,KY,6,B001282,H0KY06104
2012,John Delaney,D,MD,6,D000620,H2MD06195
2012,Joseph Kennedy III,D,MA,4,K000379,H2MA04073
2012,Dan Kildee,D,MI,5,K000380,H2MI05119
2012,Kerry Bentivolio,R,MI,11,B001280,H2MI11133
2012,Rick Nolan,D,MN,8,N000127,H2MN08111
2012,Ann Wagner,R,MO,2,W000812,H2MO02102
2012,Steve Daines,R,MT,0,D000618,S2MT00096
2012,Steven Horsford,D,NV,4,H001066,H2NV04011
2012,Ann McLane Kuster,D,NH,2,K000382,H0NH02181
2012,Michelle Lujan Grisham,D,NM,1,L000580,H8NM01257
2012,Grace Meng,D,NY,6,M001188,H2NY06116
2012,Hakeem Jeffries,D,NY,8,J000294,H2NY10092
2012,Sean Patrick Maloney,D,NY,18,M001185,H2NY22139
2012,Chris Collins,R,NY,27,C001092,H8NY29032
2012,Richard Hudson,R,NC,8,H001067,H2NC08185
2012,Robert Pittenger,R,NC,9,P000606,H2NC09134
2012,Mark Meadows,R,NC,11,M001187,H2NC11080
2012,George Holding,R,NC,13,H001065,H2NC13110
2012,Kevin Cramer,R,ND,0,C001096,H0ND01026
2012,Brad Wenstrup,R,OH,2,W000815,H2OH02085
